Date	Q (m3/s)	V
01/01/2016 00:00	4.310	
01/01/2016 01:00	4.320	
01/01/2016 02:00	4.330	
01/01/2016 03:00	4.340	
01/01/2016 04:00	4.350	
01/01/2016 05:00	4.350	
01/01/2016 06:00	4.380	
01/01/2016 07:00	10.700	
01/01/2016 08:00	14.200	
01/01/2016 09:00	14.300	
01/01/2016 10:00	14.300	
01/01/2016 11:00	14.300	
01/01/2016 12:00	14.300	
01/01/2016 13:00	14.300	
01/01/2016 14:00	6.860	
01/01/2016 15:00	4.000	
01/01/2016 16:00	4.100	
01/01/2016 17:00	4.190	
01/01/2016 18:00	4.210	
01/01/2016 19:00	4.220	
01/01/2016 20:00	4.240	
01/01/2016 21:00	4.250	
01/01/2016 22:00	4.270	
01/01/2016 23:00	4.280	
02/01/2016 00:00	4.300	
02/01/2016 01:00	4.310	
02/01/2016 02:00	4.330	
02/01/2016 03:00	4.340	
02/01/2016 04:00	4.360	
02/01/2016 05:00	4.440	
02/01/2016 06:00	4.550	
02/01/2016 07:00	10.400	
02/01/2016 08:00	14.700	
02/01/2016 09:00	14.700	
02/01/2016 10:00	14.600	
02/01/2016 11:00	14.600	
02/01/2016 12:00	14.500	
02/01/2016 13:00	14.500	
02/01/2016 14:00	7.970	
02/01/2016 15:00	10.200	
02/01/2016 16:00	13.900	
02/01/2016 17:00	16.000	
02/01/2016 18:00	16.600	
02/01/2016 19:00	17.000	
02/01/2016 20:00	17.200	
02/01/2016 21:00	16.100	
02/01/2016 22:00	13.600	
02/01/2016 23:00	10.800	
03/01/2016 00:00	9.930	
03/01/2016 01:00	10.300	
03/01/2016 02:00	12.100	
03/01/2016 03:00	16.000	
03/01/2016 04:00	16.900	
03/01/2016 05:00	16.200	
03/01/2016 06:00	14.700	
03/01/2016 07:00	9.700	
03/01/2016 08:00	5.710	
03/01/2016 09:00	4.660	
03/01/2016 10:00	8.080	
03/01/2016 11:00	14.800	
03/01/2016 12:00	14.800	
03/01/2016 13:00	14.400	
03/01/2016 14:00	6.390	
03/01/2016 15:00	4.760	
03/01/2016 16:00	4.810	
03/01/2016 17:00	5.610	
03/01/2016 18:00	6.160	
03/01/2016 19:00	6.300	
03/01/2016 20:00	6.350	
03/01/2016 21:00	6.900	
03/01/2016 22:00	15.500	
03/01/2016 23:00	17.700	
04/01/2016 00:00	17.700	
04/01/2016 01:00	17.700	
04/01/2016 02:00	17.700	
04/01/2016 03:00	17.700	
04/01/2016 04:00	17.600	
04/01/2016 05:00	17.600	
04/01/2016 06:00	17.600	
04/01/2016 07:00	17.500	
04/01/2016 08:00	21.400	
04/01/2016 09:00	24.000	
04/01/2016 10:00	23.600	
04/01/2016 11:00	23.200	
04/01/2016 12:00	22.700	
04/01/2016 13:00	21.700	
04/01/2016 14:00	20.100	
04/01/2016 15:00	18.700	
04/01/2016 16:00	17.500	
04/01/2016 17:00	17.200	
04/01/2016 18:00	17.300	
04/01/2016 19:00	17.300	
04/01/2016 20:00	17.300	
04/01/2016 21:00	17.300	
04/01/2016 22:00	17.300	
04/01/2016 23:00	17.400	
05/01/2016 00:00	17.400	
05/01/2016 01:00	17.400	
05/01/2016 02:00	17.400	
05/01/2016 03:00	17.400	
05/01/2016 04:00	17.200	
05/01/2016 05:00	17.000	
05/01/2016 06:00	16.800	
05/01/2016 07:00	16.600	
05/01/2016 08:00	16.400	
05/01/2016 09:00	16.100	
05/01/2016 10:00	15.900	
05/01/2016 11:00	15.700	
05/01/2016 12:00	15.500	
05/01/2016 13:00	14.500	
05/01/2016 14:00	14.000	
05/01/2016 15:00	14.000	
05/01/2016 16:00	14.900	
05/01/2016 17:00	17.200	
05/01/2016 18:00	17.200	
05/01/2016 19:00	17.000	
05/01/2016 20:00	13.700	
05/01/2016 21:00	10.000	
05/01/2016 22:00	8.170	
05/01/2016 23:00	8.010	
06/01/2016 00:00	8.740	
06/01/2016 01:00	12.700	
06/01/2016 02:00	17.400	
06/01/2016 03:00	17.500	
06/01/2016 04:00	17.500	
06/01/2016 05:00	16.800	
06/01/2016 06:00	15.100	
06/01/2016 07:00	14.600	
06/01/2016 08:00	14.500	
06/01/2016 09:00	14.500	
06/01/2016 10:00	14.400	
06/01/2016 11:00	14.400	
06/01/2016 12:00	12.800	
06/01/2016 13:00	8.620	
06/01/2016 14:00	5.570	
06/01/2016 15:00	4.760	
06/01/2016 16:00	4.790	
06/01/2016 17:00	4.820	
06/01/2016 18:00	4.850	
06/01/2016 19:00	4.880	
06/01/2016 20:00	4.910	
